"Table 6: Components of population change by administrative area, mid-2009 to mid-2019",,,,,,,,,,,
,,,,,,,,,,,
"Area code1,2",Area name,"Estimated population
30 June 2009",Births,Deaths,Natural change,Estimated net civilian migration3,Other changes4,"Estimated population
30 June 2019",,Population change,
,,,,,,,,,,,
,,,,,,,,,,Number,%
S92000003,Scotland,"5,231,900","556,489","557,741","-1,252","231,200","1,452","5,463,300",,"231,400",4.4
,Council areas,,,,,,,,,,
S12000033,Aberdeen City,"217,020","25,287","21,009","4,278","8,950","-1,578","228,670",,"11,650",5.4
S12000034,Aberdeenshire,"249,020","27,550","23,391","4,159","7,130",901,"261,210",,"12,190",4.9
S12000041,Angus,"114,830","10,875","13,285","-2,410","2,930",850,"116,200",,"1,370",1.2
S12000035,Argyll and Bute,"89,450","7,145","10,821","-3,676",60,36,"85,870",,"-3,580",-4.0
S12000036,City of Edinburgh,"463,230","53,258","42,660","10,598","55,910","-4,808","524,930",,"61,700",13.3
S12000005,Clackmannanshire,"51,290","5,491","5,180",311,-80,19,"51,540",,250,0.5
S12000006,Dumfries and Galloway,"151,160","13,201","18,698","-5,497","2,850",347,"148,860",,"-2,300",-1.5
S12000042,Dundee City,"145,170","16,232","16,902",-670,"5,350",-530,"149,320",,"4,150",2.9
S12000008,East Ayrshire,"122,110","12,834","13,947","-1,113",670,343,"122,010",,-100,-0.1
S12000045,East Dunbartonshire,"104,960","9,416","10,389",-973,"3,820",833,"108,640",,"3,680",3.5
S12000010,East Lothian,"98,340","10,516","10,335",181,"8,210",359,"107,090",,"8,750",8.9
S12000011,East Renfrewshire,"89,980","8,618","8,802",-184,"5,550",184,"95,530",,"5,550",6.2
S12000014,Falkirk,"154,210","16,740","16,115",625,"6,360",-305,"160,890",,"6,680",4.3
S12000047,Fife,"361,420","38,398","39,026",-628,"13,370",-612,"373,550",,"12,130",3.4
S12000049,Glasgow City,"581,620","71,942","63,937","8,005","42,870",625,"633,120",,"51,500",8.9
S12000017,Highland,"228,750","22,273","24,369","-2,096","7,410","1,766","235,830",,"7,080",3.1
S12000018,Inverclyde,"81,670","7,378","10,152","-2,774","-1,530",434,"77,800",,"-3,870",-4.7
S12000019,Midlothian,"81,900","10,467","8,439","2,028","8,210",322,"92,460",,"10,560",12.9
S12000020,Moray,"93,160","9,079","9,889",-810,"2,530",940,"95,820",,"2,660",2.9
S12000013,Na h-Eileanan Siar,"27,420","2,263","3,555","-1,292",250,342,"26,720",,-700,-2.6
S12000021,North Ayrshire,"137,830","12,913","16,089","-3,176",-250,336,"134,740",,"-3,090",-2.2
S12000050,North Lanarkshire,"335,160","37,080","34,990","2,090","2,400","1,720","341,370",,"6,210",1.9
S12000023,Orkney Islands,"20,940","1,912","2,266",-354,"1,440",244,"22,270",,"1,330",6.4
S12000048,Perth and Kinross,"144,370","13,291","15,927","-2,636","11,360","-1,144","151,950",,"7,580",5.3
S12000038,Renfrewshire,"173,020","18,177","19,593","-1,416","6,890",606,"179,100",,"6,080",3.5
S12000026,Scottish Borders,"113,590","10,657","13,011","-2,354","4,620",-346,"115,510",,"1,920",1.7
S12000027,Shetland Islands,"22,800","2,490","2,201",289,-300,131,"22,920",,120,0.5
S12000028,South Ayrshire,"112,490","9,943","14,346","-4,403","4,510",13,"112,610",,120,0.1
S12000029,South Lanarkshire,"312,180","33,142","34,026",-884,"9,440",-206,"320,530",,"8,350",2.7
S12000030,Stirling,"88,690","8,090","8,749",-659,"6,870",-691,"94,210",,"5,520",6.2
S12000039,West Dunbartonshire,"91,080","9,744","10,633",-889,"-1,270",9,"88,930",,"-2,150",-2.4
